#Language,ภาษาไทย
#Location,TH
#Image,th  
#AchievementTab7,Guidance
#AchievementTab8,Market
#PointLabel,Achievements Points
#PointText,{0} Point

#A000001Text,<color=#0055FF>{0}</color>/{1} Birth Count
#A000002Text,<color=#0055FF>{0}</color>/{1} Pregnancy Count
#A000003Text,<color=#0055FF>{0}</color>/{1} Creampie Count
#A000004Text,<color=#0055FF>{0}</color>/{1} Pull Out Count
#A000005Text,<color=#0055FF>{0}</color>/{1} Slave Count
#A000006Text,<color=#0055FF>{0}</color>/{1} Monster Count
#A000007Text,<color=#0055FF>{0}</color>/{1} STD Count
#A000008Text,<color=#0055FF>{0}</color>/{1} STD Cure Count
#A000009Text,<color=#0055FF>{0}</color>/{1} Death Count
#A000010Text,<color=#0055FF>{0}</color>/{1} Milking Count
#A000011Text,<color=#0055FF>{0}</color>/{1} Growth Count
#A000012Text,<color=#0055FF>{0}</color>/{1} Shower Count

#A000013Text,<color=#0055FF>{0}</color>/{1} Rooms Built
#A000014Text,<color=#0055FF>{0}</color>/{1} Rooms Demolished
#A000021Text,<color=#0055FF>{0}</color>/{1} Milk Sales
#A000022Text,<color=#0055FF>{0}</color>/{1} Glory Hole Usage
#A000023Text,<color=#0055FF>{0}</color>/{1} Service Room Usage
#A000024Text,<color=#0055FF>{0}</color>/{1} Bestiality Shows
#A000025Text,<color=#0055FF>{0}</color>/{1} Birth Shows

#A000026Text,<color=#0055FF>{0}</color>/{1} Dismantling Count
#A000027Text,<color=#0055FF>{0}</color>/{1} By-Product Count

#A000028Text,<color=#0055FF>{0}</color>/{1} Items Crafted
#A000030Text,<color=#0055FF>{0}</color>/{1} Items Used

#A000031Text,Achieved Altar Open
#A000032Text,Achieved <color=#0055FF>{0}</color>/{1} soul conversions
#A000033Text,Achieved <color=#0055FF>{0}</color>/{1} resurrection success
#A000034Text,Achieved <color=#0055FF>{0}</color>/{1} resurrection fail
#A000035Text,Achieved strong resurrection sequelae
#A000036Text,Achieved resurrection sequelae
#A000037Text,Achieved weak resurrection sequelae
#A000038Text,Achieved perfect resurrection
#A000039Text,Achieved <color=#0055FF>{0}</color>/{1} ability transfers

#A000040Text,Achieved <color=#0055FF>{0}</color>/{1} purchases
#A000041Text,Achieved <color=#0055FF>{0}</color>/{1} sales
#A000042Text,Achieved <color=#0055FF>{0}</color>/{1} item sales

#A000047Text,Achieved over <color=#0055FF>{0}</color>/{1} gold for the first time
#A000048Text,Achieved minus gold for the first time
#A000049Text,Achieved <color=#0055FF>{0}</color>/{1} daily gold consumption
#A000050Text,Reach <color=#0055FF>{0}</color>/{1} minutes of play time

#A000052Text,Achieved <color=#0055FF>{0}</color>/{1} stages of depravity at first.
#A000053Text,Achieved <color=#0055FF>{0}</color>/{1} time in 1 stages of depravity.
#A000054Text,Achieved <color=#0055FF>{0}</color>/{1} time in 2 stages of depravity.
#A000055Text,Achieved <color=#0055FF>{0}</color>/{1} time in 3 stages of depravity.
#A000056Text,Achieved <color=#0055FF>{0}</color>/{1} time in 4 stages of depravity.
#A000057Text,Achieved <color=#0055FF>{0}</color>/{1} time in 5 stages of depravity.
#A000058Text,Achieved <color=#0055FF>{0}</color>/{1} growth count
#A000059Text,<color=#0055FF>{0}</color>/{1} VIP Room Usage
#A000060Text,<color=#0055FF>{0}</color>/{1} VVIP Room Usage
#A000061Text,<color=#0055FF>{0}</color>/{1} Pixies Created
#A000062Text,<color=#0055FF>{0}</color>/{1} Crafting Count
#A000063Text,<color=#0055FF>{0}</color>/{1} Client Guidance
#A000064Text,Used <color=#0055FF>{0}</color>/{1} Condoms & Love Gels
#A000065Text,Bought <color=#0055FF>{0}</color>/{1} Cosmetic Potions
#A000066Text,Unlock Dismantling
#A000067Text,Unlock The Laboratory
#A000068Text,Unlock The Brothel
#A000069Text,Flora Favor <color=#0055FF>{0}</color>/{1}
#A000070Text,Noel Favor <color=#0055FF>{0}</color>/{1}
#A000071Text,Sena & Lena Favor <color=#0055FF>{0}</color>/{1}
#A000072Text,Amilia Favor <color=#0055FF>{0}</color>/{1}

#SmallFurrySlave,Small Furry Slave
#Horse,Horse
#SellToMarket,Can be sold or dismantled.

// 0.8

#Hotkeys,HOTKEYS
#Hotkey1,Move Up
#Hotkey2,Move Left
#Hotkey3,Move Down
#Hotkey4,Move Right
#Hotkey5,Pause & Play
#Hotkey6,Speed
#Hotkey7,Achievement
#Hotkey8,Upgrade
#Hotkey9,Inventory
#Hotkey10,Construction
#Hotkey11,Unit
#Hotkey12,Amilia
#Hotkey13,Flora
#Hotkey14,Noel
#Hotkey15,Sena & Lena
#Hotkey16,Change Estate
#DragonianSlave,Dragonian Slave

// 0.9

#TraitListTitle,Trait selection
#None,None
#CommissionLook,Appearance settings
#CommissionTrait,Traits settings
#CommissionRaceTraitTitle,Race Trait settings
#CommissionRaceTrait1,RaceTrait1
#CommissionRaceTrait2,RaceTrait2
#CommissionTraitTitle,Trait settings
#CommissionTrait1,Trait1
#CommissionTrait2,Trait2
#CommissionTrait3,Trait3
#CommissionTrait4,Trait4
#CommissionButton,Request
#BigMonster,Big monster
#Appearance_PenisHair,Penis Hair
#Appearance_BodyHair,Body Hair
#Capture,Capture Success
#CommissionPrice,Time {0}day <sprite index=1> {1}
#BeingCommissioned,Order in progress

#ByProduct,By-Product

#LabelFather,Father
#LabelMother,Mother
#HealthLabel,Health
#ExhaustionLabel,Exhaustion
#DepravationLabel,Depravation
#Depravity,Depravity
#DepravationLevelFormat,Stage {0}

#TypeFormat,{0} TYPE

#IsPregnant,Pregnant

#NoneName,Nameless

#Upgrade,Upgrade
#Build,Build
#Unit,Unit

#VersionError,Invalid version.

#Reputation,Reputation

#VoiceType,Voice

#CannotInTutorial,Not available in tutorial.

#IsPayable,Payable

#MarketRateEventText,The market rate of the selected variety will be fixed for one day.<BR><color=#E07369>50%</color> at purchase, <color=#63E057>150%</color> at sale.

#PixyIsWaiting,Return Room Full
#PixyExists,Pixy is already attached.

#Chain,Chain
#Chain0,Off
#Chain1,On
#ChainText,Chain can only be broken when they are corrupted.
#Clothes,Clothes
#Clothes0,Off
#Clothes1,On

#IsCompleted,Completion
#IsWorking,Working
#Production,Production

#MarketRateSellingPrice,Selling Price
#MarketRateBuyingPrice,Buying Price
#MarketRateColorDayFormat,Time Remaining: {0} Days

#Customize,CUSTOMIZE

#Event_1,{0} Shortage
#Event_1_Text,There's a shortage of {0} in the market.<BR>The price is fixed at 120% for {1:0} day.

#Event_2,{0} Oversaturation
#Event_2_Text,There are too many {0} on the market.<BR>The price is fixed at 80% for {1:0} days.
#Event_3,Best deals
#Event_3_Text,Best deals
#Event_37,Are you working?
#Event_37_Text,Amelia is suspicious of you working.<BR>You cannot purchase monsters and slaves for {0:0.0} days.
#Event_38,For freedom
#Event_38_Text,{0} Escaped from the Brothel.<BR>Reputation Decrease: -{1}
#Event_43,Sensitivity 3000x
#Event_43_Text,The use speed of the brothel is increased by 1.5 times and the payment price is increased by 1.5 times, for the duration after using the item.<BR>The duration is 0.5 day.
#Event_44,Dispicable Minions
#Event_44_Text,Fleur's dismantling dolls are malfunctioning.<BR>Failed to get by-product.
#Event_45,Clogged Gears!
#Event_45_Text,Fleur got overworked.<BR>Dismantling is unavailable for {0:0} days.
#Event_46,Accidents During Experiments
#Event_46_Text,Noel made a weighing mistake.<BR>Failed to get item.

#Event_47,Noel On Drugs
#Event_47_Text,Noel fell into drugs during the experiment.<BR>Lab is unavailable for {0:0} days.
#Event_48,I was generous.
#Event_48_Text,Amilia has prepared a special product for you.<BR>A Human slave can be purchased for 300 Gold.
#Event_49,Not enough Brothel Girls
#Event_49_Text,Rumors are spreading that the brothel isn't equipped with a variety of facilities.<BR>For {0} days, the brothel's reputation rises more slowly.
#Event_50,Shortage of stock
#Event_50_Text,The market has run out of goods.<BR>No purchases for {0} days.

#CountOfCondomToBuyFormat,Condom <color=#63E057>{0}</color>
#CountOfLoveGelToBuyFormat,Love Gel <color=#63E057>{0}</color>å€‹

#BuyText,Do you want to buy?

#Cient,Client
#Abortion,Abortion

#PreferenceFellatio,Prefer Glory Hole - Fellatio
#PreferencePussy,Glory Hole - Pussy
#PreferenceAnal,Glory Hole - Anal
#PreferencePaizuri,Prefer Paizuri
#PreferenceVip,Prefer VIP Room
#PreferenceVvip,Prefer VVIP Room

#Maintenance,Maintenance -{0}

#Setting,Setting
#Apply,Apply

#Condom,Condom
#CondomText,A tool to prevent STD in Slaves.
#LoveGel,LoveGel
#LoveGelText,A tool to shorten client intercourse time.
#Pixy,Pixie
#Applied,Applied
#Unapplied,Unapplied

#PixyLabel,Pixie Detail Options
#PixyHealth,Health Management
#PixyBirth,Delivery
#PixyBaby,Baby Transfer
#PixyMilk,Milking
#PixyDead,Corpse Disposal
#PixyShowFirst,Prioritize Birth Show

#ClientCondomLabel,Client Condom Options
#ClientLoveGelLabel,Client Love Gel Options
#Client0Name,White Client
#Client0Text,STD: <color=#E07369>5%</color><BR>Specialized traits: <color=#63E057>Conception rate +5%</color>, <color=#E07369>Growth time +5</color>
#Client1Text,STD: <color=#E07369>10%</color><BR>Specialized traits: <color=#63E057>Growth time -5</color>, <color=#E07369>Maintenance Cost +5</color>
#Client2Name,Blue Client
#Client2Text,STD: <color=#E07369>10%</color><BR>Specialized traits: <color=#63E057>Maintenance Cost -5</color>, <color=#E07369>Growth time +5</color>
#Client3Name,Purple Client 
#Client4Text,STD: <color=#63E057>0%</color><BR>Specialized traits: <color=#63E057>All Positive Traits</color>

#Buy,Buy
#AutoBuy,Automatic Purchase

#MinotaurText,A huge, violent monster from ancient times. Now extinct.
#SalamanderText,A giant ancient monster, the pinnacle of all living things. Now extinct.

#ManagementEstate,Management<BR>Estate
#PrivateEstate,Private<BR>Estate

#MoveToManagementEstate,Move To Management Estate
#MoveToPrivateEstate,Move To Private Estate

#EstateFormat,{0} Estate
#MoveToEstateFormat,{0} Move To Estate
#Player,Player
#PlayerText,Player character
#Management,Management

#PayText,Payment period.<BR><color=#AEFC9B>Click</color> to toggle the payment list.

// CG

#SceneSlow,S
#SceneFast,F
#SceneUp,U
#SceneDown,D
#SceneLeft,L
#SceneRight,R
#SceneBoth,A
#SceneInside,I
#SceneOutside,O
#CumshotCount,Cumshot Count
#ClearSemen,Clear Semen

#IsSaving,Saving.
#IsLoading,Loading.

#ReportDay,Day {0} Report
#ReportLabelSlaveList,Slave Maintenance
#ReportLabelMonsterList,Monster Maintenance
#ReportLabelProfitAndLossList,List of profit and loss
#ReportLabelRevenues,Revenues
#ReportLabelExpenses,Expenses
#ReportLabelProfit,Profit
#ReportLabelLoss,Loss
#ReportLabelProfitAndLoss,Profit & Loss
#ReportLabelProfitAndLossChart,Profit & Loss Chart
#ReportCount,x{0}
#ReportPurchaseList,Purchase Cost List
#ReportLabelBorrow,Institutional Loan
#ReportInterestRate,Interest Rate
#ReportBorrow,Loan
#ReportLoanPeriod,Loan Period
#ReportBorrowedGold,Principal
#ReportLoanPayment,Loan Payment
#ReportRepay,Repay
#ReportLabelCount,Count
#ReportLabelItem,Special Product
#ReportLabelItem1,Regular Sale
#ReportLabelItem2,Limited Sale
#ReportLabelLoanCount,Loan Count
#ReportFormatCount,{0}
#ReportFormatDay,{0} Day
#ReportLabelGold,Gold

#Likeability,Likeability

#L001Text,Buy Humans
#L002Text,Buy Elves
#L003Text,Buy Dwarves
#L004Text,Buy Furries
#L005Text,Buy Small Furries
#L006Text,Buy Dragonians
#L007Text,Sell Goblins
#L008Text,Sell Orcs
#L009Text,Sell Werewolves
#L010Text,Sell Minotaurs
#L011Text,Sell Salamanders
#L012Text,Market Manipulation

#L101Text,Dismantle Humans
#L102Text,Dismantle Elves
#L103Text,Dismantle Dwarves
#L104Text,Dismantle Furries
#L105Text,Dismantle Small Furries
#L106Text,Dismantle Dragonians
#L107Text,Dismantle Goblins
#L108Text,Dismantle Orcs
#L109Text,Dismantle Werewolves
#L110Text,Dismantle Minotaurs
#L111Text,Dismantle Salamanders
#L112Text,Create Pixies

#L201Text,Produce Tattoo Removal
#L202Text,Produce Health Recovery
#L203Text,Produce Mammary Injection
#L204Text,Produce Disease Cure
#L205Text,Produce Ovum Recovery
#L206Text,Produce Fertility Medication
#L207Text,Produce Aphrodisiac
#L208Text,Produce Viâ—‹gra
#L209Text,Produce Sensitivity 3000x
#L210Text,Produce Washer
#L211Text,Produce Slave
#L212Text,Produce Monster
#L213Text,Produce Big Monster

#L301Text,Consume Condom
#L302Text,Consume love gel
#L303Text,Buy cosmetic potion
#L304Text,Guide client
#L305Text,Achieve reputation level 1
#L306Text,Achieve reputation level 2
#L307Text,Achieve reputation level 3
#L308Text,Achieve reputation level 4
#L309Text,Achieve reputation level 5
#L310Text,Achieve reputation level 6
#L311Text,Achieve reputation level 7

// ToolTip

#FloraUnlock,Flora will be unlocked on the 11th day.
#NielUnlock,Noel will be unlocked on the 16th day.
#SenaLenaUnlock,Sena & Lena will be unlocked on the 21st day.

#AmiliaAction1Text,<color=#AEFC9B>Click</color> to open the market rate event window.
#AmiliaAction2Text,<color=#AEFC9B>Drag and drop</color> slaves or monsters here to sell.<BR><color=#AEFC9B>Click</color> to open the market rate window.
#AmiliaAction3Text,<color=#AEFC9B>Click</color> to bring in new slaves and monsters.
#FloraAction1Text,<color=#AEFC9B>Pixie is being made.<BR>{0} / {1}
#FloraAction2Text,<color=#AEFC9B>Drag and drop</color> slaves or monsters here to dismantle.
#NielAction1Text,<color=#AEFC9B>Drag and drop</color> DNA here to customize slaves and monsters.<BR><color=#AEFC9B>Click</color> to open the customization window.
#NielAction2Text,<color=#AEFC9B>Click</color> here to open the illustrated book window that combines items.

#TestText00,ã“ã®ãƒœã‚¿ãƒ³ã§NPCãŸã¡ã®ã‚·ãƒ¼ãƒ³ã‚’ç¢ºèªã™ã‚‹ã“ã¨ãŒã§ãã¾ã™ã€‚
#DemoText00,You cannot earn achievement points in the trial version.

#MarketRateColorText1,Slaves with <color=#{0}>{1}</color> hair are said to be valuable.
#MarketRateColorText2,Slaves with <color=#{0}>{1}</color> eyes are said to be valuable.
#MarketRateColorText3,Monsters with <color=#{0}>{1}</color> skin are said to be valuable.
#MarketRateColorText4,Monsters with <color=#{0}>{1}</color> eyes are said to be valuable.
#MarketRateColorText5, Market Rate + 20%

// Story Text

#StoryText00100,At the end of our usual deal, Amelia made me a strange offer.
#StoryText00150,The broker suggested we work together.
#StoryText00200,If I worked with Amelia, the top slaver in the country... it was an risky opportunity to make a lot of money.
#StoryText00300,I accepted her offer immediatly.
#StoryText00350,Because I want to make slaves become pregnant over and over again...

#StoryText00400,Well... I have to go through some tests before I leave the job to you.
#StoryText00500,Let's see if you can make a profit for our organization.
#StoryText00600,I'll leave this territory to you for the time being.
#StoryText00700,After <color=#FFFF00>'50 days'</color>, if you are proffitable, you can keep it.
#StoryText00750,Don't worry. I'll help you at first.
#StoryText00760,Let's start by breeding and selling monsters first.

#StoryText00800,Build a cage for monsters and slaves.
#StoryText00900,Build a Slave Cage.
#StoryText01000,Build a Monster Cage.

#StoryText01100,Well, I'll gift you some slaves and monsters.
#StoryText01200,Try not to kill them off.
#StoryText01300,Slaves and monsters have different looks and races.
#StoryText01400,Also, each race has different Traits. Try to breed the best slaves possible. 
#StoryText01500,<color=#FFFF00>'Human'</color> girls have few magic properties, but they make good brothel whores.<BR>Specialized traits: <color=#63E057>Conception rate +5%</color>, <color=#63E057>Growth time -5</color>, <color=#E07369>Max Health -15</color>, <color=#E07369>Pregnancy possibility -3</color>
#StoryText01600,<color=#FFFF00>'Goblin'</color> is a basic race, but it has a short mating time.<BR>Specialized traits: <color=#63E057>Growth time -5</color>, <color=#E07369>Conception rate -5%</color>

#StoryText02550,Now let me tell you how to <color=#FFFF00>'breed'</color>.
#StoryText02600,Build a breeding room.
#StoryText02700,Move the monster to the breeding room.
#StoryText02800,Move the slave to the breeding room.
#StoryText02900,Well, there he goes. He should take it from here. Once she gets pregnant, make full use of the offspring.

#StoryText03000,Now let's talk about <color=#FFFF00>'selling'</color> and <color=#FFFF00>'buying'</color>.
#StoryText03100,If you want to <color=#FFFF00>'sell'</color> slaves or monsters, bring them to the carriage.

#StoryText03200,You want to buy a new product?
#StoryText03300,One moment...
#StoryText03400,I work every day during the <color=#FFFF00>'day'</color> hours as a legitimate <color=#FFFF00>'slave'</color> trader.
#StoryText03500,If you want to purchase <color=#FFFF00>'Monsters'</color>, wait until <color=#FFFF00>'Night'</color>.
#StoryText03600,Because trading monsters is frowned upon.
#StoryText03700,If you want to buy a monster or a slave, just <color=#FFFF00>'drag & drop'</color> the product and drop it in the right place.
#StoryText03800,You can quickly sell and purchase products using the <color=#FFFF00>'quick menu'</color>.

#StoryText25200,From now on, I will make sure to receive <color=#FFFF00>'reimbursement'</color> once every <color=#FFFF00>'5 days'</color>.
#StoryText25300,Rather than money... <color=#FFFF00>'Monsters'</color> would be better.
#StoryText25400,I'll let you give monsters instead of other services.
#StoryText25500,Amilia receives a <color=#FFFF00>'monster reward once every 5 days'</color>.
#StoryText25600,The monsters to be rewarded will be informed by Amilia in advance, and on the 5th day, you can <color=#FFFF00>'pay by selling the monster'</color> to Amilia.
#StoryText25700,If you <color=#FFFF00>'fail even once in Payment'</color>, it will be <color=#FF0000>'Game Over'</color>. You are not able to pay until the 5th day. 

#StoryText05000,Then, run this breeding farm well until <color=#FFFF00>'50 days'</color>.
#StoryText05100,If you earn lots of profit, we'll let you keep this place.
#StoryText05200,You can also enjoy watching the slaves breeding many children.
#StoryText05300,If the profit is huge, you can take over the organization.
#StoryText05350,Oh, and lastly, don't mind the basement, as it was built by the previous owner and doesn't mean much. (~Please wait for the DLC~). 
#StoryText05400,Then do your best, co-worker â™¥

#StoryText06500,The slaves can <color=#FFFF00>'infect monsters'</color> and <color=#FF0000>'eventually die'</color>.
#StoryText06600,Please note that <color=#FFFF00>'infected monsters'</color> gain <color=#FF0000>'Erectile Dysfunction'</color> and can no longer reproduce.

#StoryText12200,Let me introduce you to <color=#FFFF00>'Business Partner'</color> here.
#StoryText12300,Her name is <color=#C27AEB>Flora</color>. She'll be in charge of 'dismantling' monsters and slaves.
#StoryText12400,Nice to meet you~
#StoryText12500,If you <color=#FFFF00>'dismantle monsters and slaves'</color>, you'll get <color=#FFFF00>'by-products'</color>.
#StoryText12600,<color=#FFFF00>'By-products'</color> can be <color=#FFFF00>'sold or used in combinations of items'</color>.
#StoryText12700,Then, please call her whenever you need her.
#StoryText12800,Please call anytime.

#StoryText12900,Hello
#StoryText13000,I'll show you how to use our 'dismantler'.
#StoryText13100,<color=#FFFF00>'Drag & Drop monsters and slaves'</color> here and they will be <color=#FFFF00>'Dismantled'</color> automatically.
#StoryText13200,Once the dismantling is complete, you can automatically obtain rare <color=#FFFF00>'By-Products'</color>.
#StoryText13210,If you do a lot of dismantling, a special <color=#FFFF00>'Pixie'</color> will be created.
#StoryText13220,Pixies are good helpers who <color=#FFFF00>'automatically manage slaves'</color>.
#StoryText13300,Grinding up creatures makes me so wet, so Hurry up and make a lot of pixies!

#StoryText13400,Let me introduce you to <color=#FFFF00>'Business Partner'</color> here.
#StoryText13500,Her name is <color=#4DF4E4>Noel</color>. She'll be responsible for the synthesis of potions and elixors.
#StoryText13600,Hi~
#StoryText13700,<color=#FFFF00>'She can make various items by combining by-products.'</color>
#StoryText14000,Make lots of usefull potions.
#StoryText14100,Call me whenever you need~

#StoryText14200,Hi~ Darling.
#StoryText14300,Then I'll show you how to use my services~
#StoryText14400,Click on <color=#FFFF00>'Cauldron'</color> to see what items can be made~
#StoryText14500,<color=#FFFF00>'Potions can be synthesized~'</color>
#StoryText14600,<color=#FFFF00>'Once the production is complete, items will be acquired automatically~'</color>
#StoryText14800,Let's get experimenting~

#StoryText14900,You can use achievement points and upgrade NPC capabilities.
#StoryText15000,There is no order of upgrades, you can choose and upgrade to whatever you want.

#StoryText16400,A new aboveground facility has been added.
#StoryText16600,From now on, we can provide new services to our clients.

#StoryText16700,Well, it's the final deadline.
#StoryText16800,Let's take a look at your profit.
#StoryText16900,Hmm... I think I misunderstood you.
#StoryText17000,Too bad...
#StoryText17100,You failed.
#StoryText17200,Then goodbye...
#StoryText17300,Not bad.
#StoryText17400,You succeeded.
#StoryText17500,Let's do well in the future,
#StoryText17600,Co-workerâ™¥
#StoryText17700,You can now enjoy infinite mode.
#StoryText17800,There might be more Updates later, but thanks for playing!

#StoryText04500,Looks like the slave is <color=#FFFF00>'pregnant'</color>. Wonderfull. Slaves love being impregnated against thier will, you know.
#StoryText04600,Build a DeliveryRoom to give <color=#FFFF00>'birth'</color> to new girls and monsters.
#StoryText04700,Please raise this baby well, because it has value only when he is an adult.
#StoryText04800,Build a deliveryroom.
#StoryText04900,Move the slave to the deliveryroom and give birth.

#StoryText06700,The slave gave birth to a baby.
#StoryText06710,Please move the spawn to the cage.
#StoryText06800,You can <color=#FFFF00>'pump breast milk'</color> from  slaves who have gotten pregnant and given birth.
#StoryText06900,Let's see how to pump breast milk.
#StoryText07000,Build a milking room.
#StoryText07100,Move the slave to the milking room.
#StoryText07200,Breast milk is produced after a slave gives birth. Thier milk will slowly increase from henceforth. Bigger tits make more milk.
#StoryText07300,Click on the milk tank to collect a milk bottle.
#StoryText09500,Click on the milk tank behind the milking room get the item.
#StoryText09600,The milk tank stores a large amount of milk, so click on the milk tank to get milk as needed. Be sure to make lots of girls pregnant and pump lots of milk~ 

#StoryText09700,Slaves have <color=#FFFF00>'health'</color> states, which <color=#FFFF00>'decrease when breeding with monsters'</color> and <color=#FF0000>'die when they reach 0'</color>.
#StoryText09800,Better to <color=#FFFF00>'restore health'</color> by letting the slaves rest in the <color=#FFFF00>'cage'</color> before they become useless.

#StoryText25800,I received the delivery.
#StoryText25900,Well done. In return, I'll reward you.
#StoryText26000,Select the <color=#FFFF00>'slave product to be on special'</color>.
#StoryText26100,For the selected product, I will receive <color=#FFFF00>'150% when buying'</color> and <color=#FFFF00>'50% when selling'</color>.
#StoryText26200,<color=#FFFF00>'During the day'</color> We will sell the product.
#StoryText26300,Here's the next goal.
#StoryText26400,See you in five days.

#StoryText27300,Thanks to your hard work, a <color=#FFFF00>'Pixie'</color> was created.
#StoryText27400,You can take care of the slaves more comfortably through the use of Pixies~
#StoryText27500,If you <color=#FFFF00>'dismantle more than a certain number of creatures, a Pixie is created'</color>. You can <color=#FFFF00>'take care of slaves automatically via Pixies'</color>.
#StoryText27600,Pixies fly freely around the field and perform the following functions.
#StoryText27900,When a slave's health falls below a certain level, it is moved to a nearby slave cage to restore health and return to its original position.
#StoryText28000,When a slave becomes pregnant, it is moved to a nearby delivery room to give birth and return to its original position.
#StoryText28050,Move babies in the delivery room to an empty cage.
#StoryText28100,When the slave's milk is full, it is moved to a nearby milking room and returned to the original position after milking.
#StoryText28200,One pixy can only handle one task at a time, and as slaves and monsters increase, more pixies may be needed.

#StoryText29100,Oh, did you get something interesting?
#StoryText29200,You can use it <color=#FFFF00>'to create monster or slave with random status'</color>
#StoryText29250,Appearance and traits are random. Instead, I'll make it better than the existing products.
#StoryText29300,If you put your DNA here, I'll make it whatever you want, whether it's a slave or a monster~
#StoryText29400,You can get <color=#FFFF00>'special DNA items'</color> by <color=#FFFF00>'dismantling'</color> them. If you take it to Niel, you can create slaves or monsters with random traits.
#StoryText29500,There are <color=#FFFF00>'monsters that can only be obtained through DNA'</color>, so please take advantage of them.

#StoryText29600,Darling~, what you ordered is complete~
#StoryText29700,Here you go~

#StoryText29800,Oh, long time no see?
#StoryText29900,You can make anything with this~
#StoryText30000,Even if they were <color=#FFFF00>'extinct in ancient times'</color>~
#StoryText30100,If you use <color=#FFFF00>'origin DNA'</color>, you can create amy slaves or monsters, and you can also create <color=#FFFF00>'large monsters that were extinct in ancient times'</color>.
#StoryText30200,<color=#FFFF00>'Large monsters'</color>  <color=#FFFF00>'Require a dedicated cage and dedicated breeding room'</color> and <color=#FFFF00>'Breeding'</color> for <color=#FFFF00>'It takes a lot of work, such as 'need a special slave with Multiple Pregnancy of three'</color>. That's why the <color=#FFFF00>'value is high'</color>.

#StoryText30400,This is a elf slave sold to our company.
#StoryText30600,This is a furry slave sold to our company.
#StoryText30700,This is a small furry slave sold to our company.
#StoryText30800,This is a dragonian slave sold to our company.
#StoryText30900,I hope you enjoy breeding her.

#StoryText31000,A new product has been added.
#StoryText31100,It was difficult to secure a source.
#StoryText31200,<color=#FFFF00>'Elves'</color> are a magical minority and have excellent physical strength and do not get along with dwarves. They value virginity and consider it shameful to lose it.<BR>Specialized traits: <color=#63E057>Maintenance Cost -5</color>, <color=#63E057>Max health +15</color>, <color=#E07369>Conception rate -5%</color>, <color=#E07369>Growth time +5</color>, <color=#E07369>Multiple pregnancy -1</color>
#StoryText31300,It was pretty hard to find where they were hiding because they dig so deeply underground.
#StoryText31400,<color=#FFFF00>'Dwarves'</color> are a minority tribe with excellent physical abilities and recover quickly. They don't get along very well with the elves. They think it's a virtue to be prolific.<BR>Specialized traits: <color=#63E057>Conception rate +5%</color>, <color=#63E057>Max birth count +3</color>, <color=#63E057>Multiple pregnancy +1</color>, <color=#E07369>Growth time +5</color>, <color=#E07369>Maintenance Cost +5</color>
#StoryText31500,It was pretty hard to catch them running around in the woods.
#StoryText31600,<color=#FFFF00>'Furries'</color> are a multi-ethnic race. They are physically weak and optimized to spread their genes.<BR>Specialized traits: <color=#63E057>Conception rate +10%(Common)</color>, <color=#63E057>Multiple pregnancy +1(Neko)</color>, <color=#63E057>Growth time -10(Inu)</color>, <color=#E07369>Max health -30(Common)</color>, <color=#E07369>Growth time +10(Neko)</color>, <color=#E07369>Maintenance Cost +10(Inu)</color>
#StoryText31700,It was quite difficult to catch these hiding in the woods.
#StoryText31800,<color=#FFFF00>'Small furries'</color> are a multi-ethnic race. They are physically weak and optimized to spread their genes.<BR>Specialized traits: <color=#63E057>Conception rate +10%(Common)</color>, <color=#63E057>Max birth count +6(Usago)</color>, <color=#63E057>Maintenance Cost -10(Hitsuji)</color>, <color=#E07369>Max health -30(Common)</color>, <color=#E07369>Growth time +10(Hitsuji)</color>, <color=#E07369>Maintenance Cost +10(Usago)</color>
#StoryText31900,These were really hard to catch. 
#StoryText32000,<color=#FFFF00>'Dragonian'</color> is a Strong race and gives priority to positive traits.<BR>Specialized traits: <color=#63E057>Conception rate +10%</color>, <color=#63E057>Growth time -10</color>, <color=#63E057>Max health +30</color>, <color=#63E057>Max birth count +6</color>, <color=#E07369>Maintenance Cost +10</color>, <color=#E07369>Multiple pregnancy -1</color>
#StoryText32100,It's hard to catch monsters this big.
#StoryText32200,<color=#FFFF00>'Orcs'</color> are slow to breed and their young grow faster.<BR>Specialized traits: <color=#63E057>Conception rate +5%</color>, <color=#E07369>Breeding time +5</color>
#StoryText32300,They are rough, so please be careful while handling them.
#StoryText32400,<color=#FFFF00>'Werewolf's'</color> mating rate is very fast and their children grow very fast.<BR>Specialized traits: <color=#63E057>Breeding time -5</color>, <color=#E07369>Slave's health consumption during breeding +0.05</color>

#StoryText09900,The slave has <color=#FF0000>â€™diedâ€™</color>.
#StoryText10000,The slave <color=#FFFF00>'dies and the room decays over time'</color>.
#StoryText10100,Then other slaves and monsters in the room may get <color=#FF0000>'venereal disease'</color>.
#StoryText10200,Let's build a morgue and burry the slave.
#StoryText10300,Build a morgue.
#StoryText10400,Move the slave to the morgue. 
#StoryText10500,When a room is contaminated, click the clean room icon to clean the room.
#StoryText10600,If there is no space in the morgue, you can <color=#FFFF00>'burial the body through Amilia'</color>.<BR>However, in this case, <color=#FFFF00>'additional cost'</color> is incurred.

#StoryText32500,Depravity of slave has risen a little, right?
